DEPARTAMENTO;FA;PN;PC;CO
ARTIGAS;0,3460038;0,4874985;0,1256972;0
CANELONES;0,5071737;0,24653;0,0828478;0
CERRO LARGO;0,3307814;0,6034491;0,0299679;0
COLONIA;0,3697544;0,5352544;0,033876;0
DURAZNO;0,2604486;0,6287251;0,0467613;0
FLORES;0,1130033;0,7905268;0,0557569;0
FLORIDA;0,3069322;0,5710869;0,0628333;0
LAVALLEJA;0,3336835;0,5354915;0,0689912;0
MALDONADO;0,3976146;0,4568353;0,0731762;0
MONTEVIDEO;0,5119955;0;0;0,3796
PAYSANDU;0,4484117;0,431362;0,052203;0
RIO NEGRO;0,427301;0,4211022;0,0865483;0
RIVERA;0,1903947;0,191278;0,5613177;0
ROCHA;0,4571755;0,4192317;0,0332402;0
SALTO;0,4543074;0,0641998;0,4373462;0
SAN JOSE;0,3061429;0,5696465;0,0188318;0
SORIANO;0,2267578;0,6283186;0,0844248;0
TACUAREMBO;0,2987572;0,5831576;0,0650545;0
TREINTA Y TRES;0,2933499;0,6388544;0,0191198;0
